validation,model,feature_set,fold,class_code,class_name,precision,recall,f1,support
spatial_5fold,HistGradientBoosting,bands_plus_indices,2,10,Tree cover,0.8443396226415094,0.8264081255771006,0.8352776481567895,1083
spatial_5fold,HistGradientBoosting,bands_plus_indices,2,30,Grassland,0.825136612021858,0.8273972602739726,0.826265389876881,1095
spatial_5fold,HistGradientBoosting,bands_plus_indices,2,40,Cropland,0.9521193092621664,0.9134036144578314,0.9323597232897771,1328
spatial_5fold,HistGradientBoosting,bands_plus_indices,2,50,Built-up,0.8778801843317973,0.9232633279483037,0.9,1238
spatial_5fold,HistGradientBoosting,bands_plus_indices,2,80,Permanent water,0.9691629955947136,0.9777777777777777,0.9734513274336283,1125
spatial_5fold,HistGradientBoosting,bands_plus_indices,3,10,Tree cover,0.8633540372670807,0.823181049069374,0.8427890861844954,1182
spatial_5fold,HistGradientBoosting,bands_plus_indices,3,30,Grassland,0.7817589576547231,0.8340573414422241,0.807061790668348,1151
spatial_5fold,HistGradientBoosting,bands_plus_indices,3,40,Cropland,0.9191919191919192,0.8548249359521777,0.8858407079646018,1171
spatial_5fold,HistGradientBoosting,bands_plus_indices,3,50,Built-up,0.882270497547302,0.9196493791088386,0.9005722460658083,1369
spatial_5fold,HistGradientBoosting,bands_plus_indices,3,80,Permanent water,0.9731768650461022,0.9748110831234257,0.9739932885906041,1191
spatial_5fold,HistGradientBoosting,bands_plus_indices,4,10,Tree cover,0.8384321223709369,0.8016453382084096,0.819626168224299,1094
spatial_5fold,HistGradientBoosting,bands_plus_indices,4,30,Grassland,0.7966226138032305,0.8164033107599699,0.8063916759568933,1329
spatial_5fold,HistGradientBoosting,bands_plus_indices,4,40,Cropland,0.9144186046511628,0.8562717770034843,0.8843904633378318,1148
spatial_5fold,HistGradientBoosting,bands_plus_indices,4,50,Built-up,0.8336236933797909,0.9088319088319088,0.8696047251249432,1053
spatial_5fold,HistGradientBoosting,bands_plus_indices,4,80,Permanent water,0.9856801909307876,0.9802215189873418,0.9829432764775883,1264
spatial_5fold,HistGradientBoosting,bands_plus_indices,5,10,Tree cover,0.883876357560568,0.841686555290374,0.8622656886715566,1257
spatial_5fold,HistGradientBoosting,bands_plus_indices,5,30,Grassland,0.7709059233449478,0.8082191780821918,0.7891217119928667,1095
spatial_5fold,HistGradientBoosting,bands_plus_indices,5,40,Cropland,0.9069973427812223,0.8469809760132341,0.8759623609923011,1209
spatial_5fold,HistGradientBoosting,bands_plus_indices,5,50,Built-up,0.8926426426426426,0.9376971608832808,0.9146153846153846,1268
spatial_5fold,HistGradientBoosting,bands_plus_indices,5,80,Permanent water,0.9704708699122107,0.9886178861788618,0.9794603302456706,1230
